sequence,Restaurant_Name,Place_ID,Address,Category,"AI_Summary
_Pros",AI_Summary_Cons,Must_Try_Dishes,"Kaki_Maka
n_Tip
(Where the
Soul Is)",Status
9938,Ah Tao Bak Kut Teh,ChIJWXCqlvVIHzIRtjok4Oayidk,"2429, Jalan Dynasty, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9939,Kinabalu Container Box Kitchen,ChIJs256UJqZOzIRK-NXxqc1AvE,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9940,Home Town Taste,ChIJjyYgJPtJHzIRadAZjMMpxQY,"14520, Lorong Homelite 2, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9941,Restaurant Mak,ChIJ40uA7iNIHzIR0BtQ_ytbrdI,"14735, Jalan Airport, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9942,Restoran Ayam Penyet Ria,ChIJa1zRIrtRHzIRCB_Af3lvY_A,"8577, Lorong Tunku Abdul Rahman 1, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9943,Uroko,ChIJzy4O-spNzDERVEXrsAs4UPQ,Jalan Lapangan Terbang,Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
9944,Hosay,ChIJp_tw3HQ5zDERw9maa6SPXFs,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9945,#KampongKu,EjMxMDYzNCwgSmFsYW4gQWlycG9ydCwgOTgwMDAgTWlyaSwgU2FyYXdhaywgTWFsYXlzaWEiMRIvChQKEgnLd20nOEgfMhGVYsC0acW5JhCKUyoUChIJD1-vwSRIHzIRxUTsav7rj1c,"10634, Jalan Airport, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9946,Momy Cafe,ChIJD3hXQCI3HzIR281PB1HMhvM,"Jalan Miri-Bintulu, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9947,Bahagia Cafe,ChIJNwvktv5PHzIROQtHV067Xuo,"3084, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9948,Surabaya Restaurant,ChIJyRX_wY9RHzIRCkbcUf-L3vo,"1627, Lorong 2B, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9949,You Corner Cafe,ChIJXxkkQW85zDERKph1UB5RtnQ,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9950,Singgah Taggal,ChIJlcw0NtghHzIRsLbbSArwAG4,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9951,Mutiara Segar Tom Yam,ChIJ0WeGFLROzDERvSNjxQIziI8,13,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9952,Restoran Nik Nor Asyiqin,ChIJM83O1TBKzDERiPLCS8zizG8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9953,Hastiqari Corner,ChIJdwxb2LRbzDERsUsPodQPTKM,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9954,Resepi Mak Ngah,ChIJtxKTV-FNzDERW5tqEC7VUNA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9955,Kedai Makan by Erly's Food Story,ChIJMzUzuFRJHzIROkK7YxDNC1s,"14580, Jalan Airport, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9956,Stall 10 Riam,ChIJB-4THElIHzIRFSdHQ6qhVWM,"8835, Jalan Miri By Pass, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9957,Dapur Jakarta,ChIJj3sAGc9IHzIR30EMsQfDS3w,"8836, Jalan Miri By Pass, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9958,Pizza Hut,ChIJ8Q5uKDJJHzIRPOARXiu9qyA,"8845, Jalan Miri By Pass, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9959,Ming Xin Cuisine,ChIJ761bktdOHzIRLw76M5ip6AY,"1128-1129, Jalan Riam, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9960,Restoran Nang Hing,ChIJ4zP4IoQGyzERRZ70igMe51c,"24, Jalan Stesen, Tapah, 35000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9961,Pak Amit Cafe Signature,ChIJmzjY5_xJHzIRAoJoqqY4Do8,"A-G-09, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9962,Rasa Sayang Kitchen,ChIJW1phDX9JHzIRdadjP7Epx-Y,"A-G-17, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9963,The Nest - Grill & Lounge,ChIJCwfwcElJHzIRG9pi_pklM5A,"A-G-18, Miri, 98000",Asian Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
9964,Qiao Ye Long,ChIJzw_uk3tJHzIRsN4S5gGqBL0,"A-G-20, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9965,Nasi Talam Miri,ChIJhwOYwY1JHzIRVLL38mIcNSQ,"D-G-15, Miri, 98000",Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9966,ShuDaxia HotPot,ChIJDQ3ju4JJHzIRJfy_wousenQ,"A-G-19, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9967,Life Cafe,ChIJG2N27hNJHzIRgtH-E7Y2evs,"A-G-21, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9968,The Light - Restaurant & Bar,ChIJYyAMNzhJHzIR8eZ1Y0Ead48,"A-G-56, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9969,Recharge Fried Chicken & Beer Cafe,ChIJFW3xE-BJHzIRPCNTMQmqYuQ,"D-G-23A, Miri, 98000",Cafe,,,"Korean BBQ, Kimchi, Bibimbap, Bulgogi",Unique dining experience worth exploring!,Processed
9970,Shanghai Seafood Centre,ChIJ3RSDnjJPHzIRYO39lr2UXtw,"544, Jalan South Yu Seng, Miri, 98000",Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
9971,Golden Restaurant,ChIJsZ6Qes1IHzIRnkL5fLwCyqw,"27, Jalan Brooke, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9972,Apollo Seafood Centre,ChIJ3RSDnjJPHzIRBNZx8qRsCbs,"4, Jalan South Yu Seng, Miri, 98000",Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
9973,Restoran Al-Asna Sdn Bhd,ChIJ1zt8-idPHzIRdCqLRdMxsnw,"3085, Jalan Morsjaya, Miri, 98000",Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
9974,Mee Tarik Tarik,ChIJR4DBSAFPzDERik2eba9KikA,"13-1, Jalan PJU 5/4, Kota Damansara, 47810",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9975,MYY Chicken Rice Restaurant,ChIJR8zDG1pIHzIRel1hgSTvpBg,"3072, Jalan Morsjaya 7, Miri, 98000",Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9976,Yuan Huat Food Centre,ChIJK0Z-9VlIHzIROq4jIdi240g,"3060, Jalan Morsjaya 2, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9977,33 Cafe,ChIJG6pQCVVJHzIRAGP4trLTXQI,"3007-3008, Jalan Morsjaya 2, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9978,One O One Cafe,ChIJC2raBc9IHzIR7DJQBZIaeP0,"3046, Jalan Morsjaya 2, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9979,Zen Tung Food Centre,ChIJKTO8HVpIHzIR070VC3vlaNk,"3065, Jalan Morsjaya 7, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9980,Peach Garden Restaurant & Cafe,ChIJM59pF1pIHzIRopQsplCAVsM,"3022, Jalan Morsjaya 7, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9981,Perwira,ChIJEUUAI1pIHzIRB2IAYgGEToc,"3014, Jalan Morsjaya 7, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9982,August Kopitiam,ChIJIT_3cQBJHzIRzZmdfLHZ9fk,"3087, Jalan Morsjaya, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9983,Selera D’Lampu,ChIJkzJAsY7utjER38R7JNJzW8A,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9984,Wanella Kitchen,ChIJG9-0OlBDSzARlrzMtd-MGcg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9985,New Sunrise Seafood Restaurant,ChIJ3e47kedOHzIR55ITw4A6KnY,"2442-2443, Jalan Boulevard 2A/1, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9986,Yong Le Cafe,ChIJibWSvudOHzIRgkYAj83By94,"2489-2490, Jalan Boulevard 2A/1, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9987,Mat Kolok Restaurant & Catering,ChIJzQsTHedOHzIRIXuvW5zIiiQ,"2488, Jalan Boulevard 2A/1, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9988,aBui Kitchen,ChIJKRzHhOdOHzIRohlUloOP9eg,"2434-2435, Jalan Boulevard 2A/1, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9989,Avenue Bistro,ChIJ2fTuq_82zDERByuafikr7j8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9990,Daka Cafe,ChIJ_8Ok6CNIHzIR9PsH0EfBzxw,"10629, Jalan Airport, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9991,Rejoice Kitchen,ChIJye_EXZs3HzIRZsUG5xL1o8M,"Jalan Bintulu-Miri, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9992,Xin Yuan Kopitiam,ChIJsV9cEgBJHzIRJgn-CNpMhCU,"14C-14D, Jalan Kingsway, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9993,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9994,VIP Restaurant (Vibes In Paradise),ChIJFy2stxdJHzIRTOWdQBfCZ5c,"1871-1872, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9995,Halo Halo,ChIJyzMEG29JHzIROrZYnFPZPFM,"8567, Lorong Tunku Abdul Rahman 1, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9996,JJ by Jen Fusion Restaurant,ChIJfdBvLEdJHzIRub-j2UTOu78,"1984-1985, Miri, 98000",Asian Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
9997,TT Cafe (Tian Tian),ChIJj_DtPc9IHzIRCrQHzQ1Nu2E,"1246, Jalan Melayu, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9998,Tong Fung Cafe,ChIJTX931TJPHzIRamm2NpKtmbU,"1254, Jalan Melayu, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9999,Good Taste Bak Kut Teh Restaurant,ChIJHU3VAMZIHzIR4lGXlRmpj4k,"1391-1392, Jalan Kubu, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
10000,5050 Cafe,ChIJXc5_GthOHzIRxugLiUAL41A,"578, Jalan Pelita 3, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
10001,Auntie Hong's Cooking,ChIJ51AcENhOHzIRizvKyiVScf4,"602, Jalan Pelita 3, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
10002,Niena Corner - Taman Restu,ChIJT2tAx15KzDEREnBxDy3iqO8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
10003,Restoran Surabaya,ChIJCeGFHs1IHzIR-u5LZrNk-NA,"288, Jalan Bendahara, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
10004,Mamamia Ice & Rojak,ChIJqc8ex99PHzIRHhD6cP3Qc3w,"6096, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
10005,Falah Western Shahab Perdana,ChIJS-wj1VVbSzARHvX3ztUPvgg,,Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
10006,Restoran Bangsal 3 Abdul,ChIJYxiRF8tIzDERFlhTbclEESQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
10007,Akar's Restaurant,ChIJw6X030xpOzIRQ_5JMNhM4n8,"2180, Jalan Sri Dagang, Miri, 98000",Western Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
10008,Wangzi Kitchen SS2,ChIJq-cr_utJzDER8p1AKR-Pw1E,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
10009,Kitchenzilla,ChIJE1_xlXBJHzIRqTb9nf4R3MU,"8816, Jalan Miri-Bintulu, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
10010,Selera Borneo,ChIJ4SOyur1JHzIRuJSXcNhuC0Q,"Jalan Miri-Bintulu, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
10011,Kah Hiong Ngu Chap,ChIJaQhGBdZRHzIRq3lrjY9Dw90,"1443, Jalan Pasar Lutong, Lutong, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
10012,Chemara Restaurant,ChIJLeNQ2ylOHzIR5tWnofLqKF8,"1436, Jalan Pasar Lutong, Lutong, 98000",Asian Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
10013,Awang Mahyan Cafe,ChIJmz7o2ilOHzIR3sXBQoEulB0,"1439-1440, Jalan Pasar Lutong, Lutong, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
10014,S88 Pujut 7,ChIJS8BbUTxPHzIRhF_ycp6WJWw,"2990, Jalan Pujut 5C, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
10015,Zearth Urban Kitchen,ChIJ-eQGobJPHzIRnj3CexQcPJ0,"1306, Jalan Bendahara, Miri, 98000",Western Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
10016,Unusual Hainanese Chicken Rice,ChIJERu7JntPHzIRSZN1c6uIRK8,"1153, Jalan Permaisuri, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
10017,Hilltop Little Kitchen 2,ChIJW3Ir0bBJHzIRjwg5gxRqsy4,"9975-9976, Jalan Luak Bay, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
10018,2nd Home Cafe and Bistro,ChIJ2dkZ2ctIHzIRUMx4IbKM1zI,"1893, Miri, 98000",Asian Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
10019,TT Plus Music Restaurant Bar,ChIJkeDGtGNJHzIRaqRgeh5P6x0,"1889, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
10020,JJ Wood Western Food (1),ChIJDa3_rgRPHzIRnOBvmlXzuVU,"5583, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
10021,aBui & U Cafe,ChIJ3Ycuka5JHzIRN8CyBzjwE_Y,"2067, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
10022,Heritage Cultural Restaurant,ChIJp4Sh3v9PHzIRozA_6Fd8ugU,"10603-10604, Jalan Dato Seri Joseph Balan Seling, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
10023,D-Dapur Cafe,ChIJAUbMdAYpSzAR58-ZqrD-VVI,,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
10024,MyKitchen,ChIJDwQcc0VPHzIR9VsgIFIAfDI,"8005, Miri, 98000",Asian Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Fresh seafood prepared with local cooking styles - must try!,Processed
10025,Salud Kitchen & Bar,ChIJ4TTPydtPHzIRF3hqAnwhmUQ,"1311-1312, Jalan Jee Foh 2, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
10026,TWT Dine & Wine,ChIJAThVqcxPHzIRs9ONcKiwQiQ,"2931-2932, Lorong Caltha, Miri, 98000",Western Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Fresh seafood prepared with local cooking styles - must try!,Processed
10027,Kellie’s Thai Bistro,ChIJS3uM9d1OHzIRS4p3JqoXqHw,"2928, Lorong Caltha, Miri, 98000",Asian Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Unique dining experience worth exploring!,Processed
10028,Jiang Hu Noodles House,ChIJfTfiIvlPHzIRSb-kXI40JJA,"855, Jalan Jurinea, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
10029,Nasi Kandar Express,ChIJ0XI4Fwi5zTERUNPtDVZrz08,"Jalan Arena, Sepang, 43900",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
10030,Haowei Kopitiam,ChIJObzVXTBJHzIRcAeytgsHwSA,"9560, Jalan Cahaya, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
10031,41 Western Food,ChIJJ7ceeNZPHzIRS5jC2IBYlpM,"9563, Jalan Cahaya, Miri, 98000",Western Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
10032,3008 Steamboat & BBQ,ChIJX_mvqYNPHzIRHN59KdEjpMY,"3513, Lorong Aster 1, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
10033,Yong Seng Pelita Cafe,ChIJ8341JaVPHzIR2Kppe17a7n4,"542, Jalan Pelita 2, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
10034,Fish Port Sabah,ChIJ-QWqljNJHzIRDIgk3qtlw60,"9565, Jalan Cahaya, Miri, 98000",Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
